FID,CODE,THEME,PAYS,IDUU,Shape_Le_1,Shape_Area,NOM,SUM_SUPERF,Shape_Leng,latitude,longitude,map_format
1,4200012,LA,SN, a3727009-f80a-4553-8901-cd35ee034ce,135120.744512,417781832.979,Cabrousse,417.781832979,135120.744512,12.433621694832597,-16.65562414805448,"12.433621694832597, -16.65562414805448"
2,4200012,LA,SN, 39db0847-f257-428f-a98e-d130abb79d2,115297.924897,445704402.043,Niassia,445.704402043,115297.924897,12.485662535350517,-16.39045759473242,"12.485662535350517, -16.39045759473242"
3,4200012,LA,SN, 47e29649-064b-472e-8ee8-422640e5a03,155874.312506,746300855.839,Djibanar,746.300855839,155874.312506,12.5213007560489,-15.722710471925737,"12.5213007560489, -15.722710471925737"
4,4200012,LA,SN, 77f917ed-3cb6-4201-bfd3-728567e9dbd,107879.795749,459989496.014,Loudia Wolof,459.989496014,107879.795749,12.512514680044818,-16.57554602452626,"12.512514680044818, -16.57554602452626"
5,4200012,LA,SN, d144c533-b53c-430c-afbd-2d2a0dd5c6b,136253.303312,679716683.153,Niaguis,679.716683153,136253.303312,12.536812545808997,-16.114354058172186,"12.536812545808997, -16.114354058172186"
6,4200012,LA,SN, 20911528-91f7-4053-9de0-652ef824e19,181356.465351,1320282413.72,Fongolembi,1320.28241372,181356.465351,12.551263931958395,-11.978798475504503,"12.551263931958395, -11.978798475504503"
7,4200012,LA,SN, a6ae2e62-0736-4711-9bca-7865a21282c,217379.187381,1235959331.86,Dar Salam,1235.95933186,217379.187381,12.655547549197848,-12.909432569433456,"12.655547549197848, -12.909432569433456"
8,4200012,LA,SN, c7ea2bdf-54e4-4b12-82f5-987daf6cba2,120904.33789,537241815.844,Simbandi Brassou,537.241815844,120904.33789,12.661502124482013,-15.366666845981767,"12.661502124482013, -15.366666845981767"
9,4200012,LA,SN, 070e0965-2f4a-4ef0-a575-eb6b8949010,247116.64941,1233526995.21,Pakour,1233.52699521,247116.64941,12.75918531274281,-13.969656781102286,"12.75918531274281, -13.969656781102286"
10,4200012,LA,SN, bf2a6363-c62f-41f3-8195-6f5b21e9ec9,181816.739758,920686854.5,Tendouck,920.6868545,181816.739758,12.742083966790059,-16.461395414560975,"12.742083966790059, -16.461395414560975"
11,4200012,LA,SN, 1b3bec76-a584-4ca4-9942-60f4da98335,180571.126983,1079120052.08,Tanghori,1079.12005208,180571.126983,12.743260649003613,-16.178246583485198,"12.743260649003613, -16.178246583485198"
